6604;NULL;PERSONA;19830411;20200131;SOGAMOSO;G;4520; Mantenimiento y reparacion de vehiculos automotores;MANTENIMIENTO Y REPARACION DE VEHICULOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;1000000;0;NO AFILIADO;1;MICRO
6703;NULL;PERSONA;19830406;20200619;SOGAMOSO;Q;8691; Actividades de apoyo diagnostico;LABORATORIOS ACTIVIDADES SALUD;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;7480000;0;NO AFILIADO;1;PEQUEÑA
6870;NULL;PERSONA;19830726;20200310;SOGAMOSO;G;4772; Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados;COMERCIO DE CALZADO;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;3663000;0;NO AFILIADO;1;PEQUEÑA
6972;NULL;PERSONA;19830923;20200213;SOGAMOSO;G;4719; Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general)  bebidas y tabaco;MISCELANEAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;10000000;0;AFILIADO;1;PEQUEÑA
7001;NULL;PERSONA;19831006;20200304;SOGAMOSO;G;4772; Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados;COMERCIO DE CALZADO;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;62000000;0;AFILIADO;3;PEQUEÑA
7066;NULL;PERSONA;19870305;20200612;SOGAMOSO;S;9602; Peluqueria y otros tratamientos de belleza;PELUQUERIAS / SALAS DE BELLEZA / SPA;OTRAS ACTIVIDADES DE SERVICIO;1500000;0;NO AFILIADO;1;PEQUEÑA
7358;NULL;PERSONA;19840320;20200627;SOGAMOSO;C;2920; Fabricacion de carrocerias para vehiculos automotores  fabricacion de remolques y semirremolques;FABRICACION DE AUTOMOTORES, REMOLQUES YSEMIREMOLQUES;INDUSTRIAS Y MANUFACTURERAS;7000000;0;NO AFILIADO;1;MICRO
7466;NULL;PERSONA;19840330;20200206;SOGAMOSO;G;4520; Mantenimiento y reparacion de vehiculos automotores;MANTENIMIENTO Y REPARACION DE VEHICULOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;2100000;0;NO AFILIADO;1;PEQUEÑA
7512;NULL;PERSONA;19840405;20200703;SOGAMOSO;C;1812; Actividades de servicios relacionados con la impresion;CARPINTERIAS Y EBANISTERIAS;INDUSTRIAS Y MANUFACTURERAS;9000000;0;NO AFILIADO;1;MICRO
7803;NULL;PERSONA;19840919;20200702;SOGAMOSO;C;2511; Fabricacion de productos metalicos para uso estructural;FABRICACION DE PRODUCTOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;INDUSTRIAS Y MANUFACTURERAS;5000000;0;NO AFILIADO;1;MICRO
8004;NULL;SOC. ANONIMA;19841121;20200316;SOGAMOSO;L;6810; Actividades inmobiliarias realizadas con bienes propios o arrendados;INMOBILIARIAS / ARRENDAMIENTOS;ACTIVIDADES INMOBILIARIAS;9173296202;0;AFILIADO;3;MEDIANA
8115;NULL;PERSONA;19841219;20200224;SOGAMOSO;M;7410; Actividades especializadas de diseño;LITOGRAFIAS;ACTIVIDAES PROFESIONALES, CIENTIFICAS Y TECNICAS;2400000;0;AFILIADO;1;PEQUEÑA
8196;NULL;PERSONA;19910320;20200312;SOGAMOSO;I;5511; Alojamiento en hoteles;HOTELES Y OTROS TIPOS DE ALOJAMIENTO;ALOJAMIENTO Y SERVICIOS DE COMIDA;8000000;0;NO AFILIADO;1;PEQUEÑA
8235;NULL;PERSONA;19850125;20200617;SOGAMOSO;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;500000;0;NO AFILIADO;1;MICRO
8249;NULL;PERSONA;19850129;20200211;SOGAMOSO;G;4723; Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados;EXPENDIOS DE CARNES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;19353000;0;NO AFILIADO;1;PEQUEÑA
8356;NULL;PERSONA;19850219;20200131;SOGAMOSO;G;4719; Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general)  bebidas y tabaco;MISCELANEAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;4885000;0;NO AFILIADO;1;PEQUEÑA
8358;NULL;PERSONA;19850219;20200605;SOGAMOSO;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;10000000;0;NO AFILIADO;1;PEQUEÑA
8401;NULL;PERSONA;19850227;20200604;SOGAMOSO;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;1900000;0;NO AFILIADO;1;PEQUEÑA
8470;NULL;PERSONA;19850308;20200317;SOGAMOSO;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;4200000;0;NO AFILIADO;1;PEQUEÑA
8752;NULL;PERSONA;19850625;20200703;SOGAMOSO;B;510; Extraccion de hulla (carbon de piedra);EXTRACCION DE CARBÓN;EXPLOTACION DE MINAS Y CANTERAS;3000000;0;NO AFILIADO;1;MICRO
8955;NULL;PERSONA;19850911;20200224;SOGAMOSO;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;1100000;0;NO AFILIADO;1;MICRO
8993;NULL;PERSONA;19850920;20200121;SOGAMOSO;G;4751; Comercio al por menor de productos textiles en establecimientos especializados;COMERCIO ROPA Y TEXTILES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;4500000;0;NO AFILIADO;1;PEQUEÑA
9011;NULL;PERSONA;19850923;20200204;SOGAMOSO;G;4520; Mantenimiento y reparacion de vehiculos automotores;MANTENIMIENTO Y REPARACION DE VEHICULOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;1000000;0;NO AFILIADO;1;MICRO
